admin2,province,country,latitude,longitude,category,utc_20200122,utc_20200123,utc_20200124,utc_20200125,utc_20200126,utc_20200127,utc_20200128,utc_20200129,utc_20200130,utc_20200131,utc_20200201,utc_20200202,utc_20200203,utc_20200204,utc_20200205,utc_20200206,utc_20200207,utc_20200208,utc_20200209,utc_20200210,utc_20200211,utc_20200212,utc_20200213,utc_20200214,utc_20200215,utc_20200216,utc_20200217,utc_20200218,utc_20200219,utc_20200220,utc_20200221,utc_20200222,utc_20200223,utc_20200224,utc_20200225,utc_20200226,utc_20200227,utc_20200228,utc_20200229,utc_20200301,utc_20200302,utc_20200303,utc_20200304,utc_20200305,utc_20200306,utc_20200307,utc_20200308,utc_20200309,utc_20200310,utc_20200311,utc_20200312,utc_20200313,utc_20200314,utc_20200315,utc_20200316,utc_20200317,utc_20200318,utc_20200319,utc_20200320,utc_20200321,utc_20200322,utc_20200323,utc_20200324,utc_20200325,utc_20200326,utc_20200327,utc_20200328,utc_20200329,utc_20200330,utc_20200331,utc_20200401,utc_20200402,utc_20200403,utc_20200404
,Hubei,China,30.9756,112.2707,deaths,17,17,24,40,52,76,125,125,162,204,249,350,414,479,549,618,699,780,871,974,1068,1068,1310,1457,1596,1696,1789,1921,2029,2144,2144,2346,2346,2495,2563,2615,2641,2682,2727,2761,2803,2835,2871,2902,2931,2959,2986,3008,3024,3046,3056,3062,3075,3085,3099,3111,3122,3130,3133,3139,3144,3153,3160,3163,3169,3174,3177,3182,3186,3187,3193,3199,3203,3207
New York City,New York,United States,40.7673,-73.9715,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9654,12305,14904,17856,21873,25573,29776,33768,37453,43119,47439,51809,57159,57159
New York City,New York,United States,40.7673,-73.9715,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New York City,New York,United States,40.7673,-73.9715,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,99,131,199,281,366,517,678,790,932,1139,1397,1584,1867
,,Iran,32.4279,53.688,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,28,43,61,95,139,245,388,593,978,1501,2336,2922,3513,4747,5823,6566,7161,8042,9000,10075,11364,12729,13938,14991,16169,17361,18407,19644,20610,21638,23049,24811,27017,29406,32332,35408,38309,41495,44605,47593,50468,53183,53183
,,Iran,32.4279,53.688,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,49,73,123,175,291,291,552,739,913,1669,2134,2394,2731,2959,2959,2959,2959,4590,4590,5389,5389,5710,6745,7635,7635,8376,8913,9625,10457,11133,11679,12391,13911,14656,15473,16711,17935,17935
,,Iran,32.4279,53.688,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,8,12,16,19,26,34,43,54,66,77,92,107,124,145,194,237,291,354,429,514,611,724,853,988,1135,1284,1433,1556,1685,1812,1934,2077,2234,2378,2517,2640,2757,2898,3036,3160,3294,3294
,Lombardia,Italy,45.6204,9.769,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28761,30703,32346,34889,37298,39415,41007,42161,43208,44773,44773,44773,44773
,Lombardia,Italy,45.6204,9.769,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6075,6657,7281,7839,8001,8962,9255,10337,10885,11415,11415,11415,11415
,Lombardia,Italy,45.6204,9.769,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3776,4178,4474,4861,5402,5944,6360,6818,7199,7593,7593,7593,7593
,United Kingdom,United Kingdom,55.3781,-3.436,confirmed,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,8,8,9,9,9,9,9,9,9,9,9,9,9,9,13,13,13,15,20,23,36,40,51,85,115,163,206,273,321,382,456,456,798,1140,1140,1543,1950,2626,2689,3983,5018,5683,6650,8077,9529,11658,14543,17089,19522,22141,25150,29474,33718,38168,38168
,United Kingdom,United Kingdom,55.3781,-3.436,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,18,18,18,18,18,18,18,18,18,20,52,65,65,65,65,93,135,135,135,135,135,135,135,135,135,135,135,135,135
,United Kingdom,United Kingdom,55.3781,-3.436,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,4,6,8,8,8,21,21,55,55,71,137,177,233,281,335,422,465,578,759,1019,1228,1408,1789,2352,2921,3605,3605
,New Jersey,United States,40.2989,-74.521,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,5,5,15,23,29,29,69,98,178,267,267,742,890,1327,1914,2844,3675,4402,6876,8825,11124,13386,16636,18696,22255,25590,29895,29895
,New Jersey,United States,40.2989,-74.521,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,New Jersey,United States,40.2989,-74.521,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3,9,11,16,20,27,44,62,81,108,140,161,198,267,355,537,646,646
,,Turkey,38.9637,35.2433,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,6,18,47,98,192,359,670,1236,1529,1872,2433,3629,5698,7402,9217,10827,13531,15679,18135,20921,20921
,,Turkey,38.9637,35.2433,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,42,70,105,162,243,333,415,484,484
,,Turkey,38.9637,35.2433,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,9,30,37,44,59,75,92,108,131,168,214,277,356,425,425
,,Switzerland,46.8182,8.2275,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,8,18,27,42,56,90,114,214,268,337,374,491,652,652,1139,1359,2200,2200,2700,3028,4075,5294,6575,7474,8795,9877,10897,11811,12928,14076,14829,15922,16605,17768,18827,19606,19702
,,Switzerland,46.8182,8.2275,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,15,15,15,15,131,131,131,131,131,1530,1530,1595,1823,1823,2967,4013,4846,4846
,,Switzerland,46.8182,8.2275,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,4,11,13,14,14,27,28,41,54,75,98,120,122,153,191,231,264,300,359,433,488,536,591,604
,,Belgium,50.8333,4.4699,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,13,23,50,109,169,200,239,267,314,314,559,689,886,1058,1243,1486,1795,2257,2815,3401,3743,4269,4937,6235,7284,9134,10836,11899,12775,13964,15348,16770,18431
,,Belgium,50.8333,4.4699,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,31,31,1,263,263,401,461,547,675,858,1063,1359,1527,1696,2132,2495,2872,3247
,,Belgium,50.8333,4.4699,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,4,5,10,14,21,37,67,75,88,122,178,220,289,353,431,513,705,828,1011,1143,1283
,Netherlands,Netherlands,52.1326,5.2913,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,10,18,24,38,82,128,188,265,321,382,503,503,804,959,1135,1413,1705,2051,2460,2994,3631,4204,4749,5560,6412,7431,8603,9762,10866,11750,12595,13614,14697,15723,15723
,Netherlands,Netherlands,52.1326,5.2913,recovered,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,250,250,250,250,250,250,250
,Netherlands,Netherlands,52.1326,5.2913,deaths,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,5,10,12,20,24,43,58,76,106,136,179,213,276,356,434,546,639,771,864,1039,1173,1339,1487,1487
,Emilia Romagna,Italy,44.5259,11.0393,confirmed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8535,9254,10054,10816,11588,12383,13119,13531,14074,14787,14787,14787,14787
